No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time
332,150,0,Footstep,DL_Based,1,-134.7998,0.2993774,4.287964
333,120,30,PinkNoise,3D_Based,3,-135.4998,25.39938,3.416992
334,90,30,Footstep,Generic,2,91.20027,-1.050614,9.271362
335,180,0,PinkNoise,3D_Based,2,174.2503,28.44937,5.678467
336,60,30,Footstep,DL_Based,4,65.05032,0.149353,6.428589
337,0,0,PinkNoise,DL_Based,1,-1.049683,-2.450636,4.763306
338,30,0,PinkNoise,DL_Based,5,46.20029,-1.850634,3.479614
339,60,0,PinkNoise,3D_Based,3,44.3503,-0.8506374,4.828979
340,180,0,Footstep,3D_Based,5,177.3002,-0.8006377,8.032349
341,0,0,Footstep,DL_Based,1,4.050277,-0.8506399,8.093628
342,0,30,Footstep,DL_Based,1,3.700282,-2.700639,5.59021
343,0,30,PinkNoise,3D_Based,3,-26.94971,28.14935,2.909302
344,120,0,Footstep,Generic,5,-124.4497,-2.650643,4.360352
345,60,30,Footstep,Generic,4,-47.19974,-0.2006452,4.827515
346,150,30,PinkNoise,3D_Based,3,-137.2497,29.49936,3.62854
347,150,30,Footstep,3D_Based,3,152.2003,0.7493591,5.298462
348,180,0,PinkNoise,Generic,2,-174.1997,32.14935,2.996704
349,150,30,PinkNoise,Generic,5,-153.4497,41.0993,3.416626
350,30,30,PinkNoise,3D_Based,4,-47.04971,30.89935,5.565308
351,30,30,PinkNoise,3D_Based,5,-39.49973,32.14935,2.489258
352,30,30,Footstep,3D_Based,3,-43.04971,33.29932,5.550049
353,90,0,PinkNoise,3D_Based,1,87.35029,34.84933,4.243164
354,90,30,Footstep,DL_Based,5,98.60029,-1.100676,4.974609
355,0,0,PinkNoise,Generic,5,-5.149719,0.6993103,4.794312
356,60,0,PinkNoise,DL_Based,3,57.55029,-1.300678,5.931885
357,120,0,Footstep,3D_Based,5,-126.7498,29.59933,8.039429
358,120,0,PinkNoise,DL_Based,4,133.4502,-2.600672,3.561279
359,120,30,PinkNoise,Generic,3,-103.1997,-0.1006714,4.416992
360,180,0,Footstep,DL_Based,2,179.5503,0.2493286,6.96582
361,180,30,Footstep,Generic,4,175.2503,35.34933,6.811279
362,60,30,Footstep,3D_Based,1,41.90029,36.5993,7.070557
363,90,30,Footstep,DL_Based,4,-87.74969,-1.350697,7.482666
364,180,0,PinkNoise,Generic,5,167.9003,31.64932,3.114502
365,180,30,Footstep,3D_Based,4,164.9503,29.5993,4.478271
366,90,30,Footstep,3D_Based,2,87.25033,27.2493,5.811523
367,90,30,PinkNoise,DL_Based,1,127.6503,-0.8006973,4.866699
368,0,0,Footstep,3D_Based,3,-1.749695,-0.5507029,5.447998
369,150,30,PinkNoise,3D_Based,5,139.9503,30.69931,7.517822
370,120,0,Footstep,Generic,1,135.1004,-2.750707,4.070313
371,120,30,Footstep,3D_Based,1,95.80031,29.79929,4.925781
372,60,30,PinkNoise,Generic,3,-42.29968,28.5993,4.583252
